"type","city","street","cost","area"
"2er WG","München Neuhausen-Nymphenburg","Dachauerstrasse Nähe Goet...","540","15"
"2er WG","München Maxvorstadt","Theresienstraße 15","580","15"
"1-Zimmer-Wohnung","München Untergiesing-Harlaching","Grünwalder Str. 24","850","28"
"3er WG","München Ramersdorf","Auflegerstraße 42","570","20"
"2er WG","München Laim","Maxstadtstraße 11","20","25"
"2er WG","München Untergiesing-Harlaching","Säbener Straße","600","13"
"6er WG","München Maxvorstadt","Nähe Theresienstraße","795","16"
"3er WG","München Milbertshofen-Am Hart","Heidemannstraße","885","33"
"3er WG","München Pasing-Obermenzing","Landsberger Str. 435","375","5"
"1-Zimmer-Wohnung","München Laim","Landsberger Straße 272","715","26"
"1-Zimmer-Wohnung","München Bogenhausen","Dirschauerstr. xx","320","9"
"2er WG","München Nymphenburg","Laimer Str. 38","680","20"
"3er WG","München Schwabing-Freimann","Paracelsusstraße 12a","600","14"
"3er WG","München Moosach","Dachauer Straße 354a","650","17"
"3er WG","München Feldmoching-Hasenbergl","Stüdlstraße 3","520","15"
"4er WG","München Au-Haidhausen","Einsteinstraße 46","772","18"
"2er WG","München Unterhaching","Walter-Peatzmann-Str.","830","13"
"6er WG","München Trudering","Michael-Seidl-Str.11","635","17"
"4er WG","München Schwanthalerhöhe-Laim","Westendstraße 146","550","15"
"2er WG","München Taufkirchen","Nelkenweg 4","510","30"
"6er WG","München Bogenhausen","Prinzregentenplatz","718","21"
"6er WG","München Bogenhausen","Prinzregentenplatz","680","18"
"2er WG","München München","Fauststraße, 80","600","21"
"5er WG","München Schwabing-West","Hohenstaufenstraße 13","290","12"
"2er WG","München Bogenhausen","Plankenhofstr. 33","775","12"
"2er WG","München Allach-Untermenzing","Langerhansstraße 7","650","25"
"2er WG","München Au-Haidhausen","Schweigerstrasse","670","14"
"1-Zimmer-Wohnung","München Milbertshofen-Am Hart","Bischof-Adalbert-Str. 29","674","39"
"2er WG","München Wer die Zugspitze mit See...","82347 Bernried","690","35"
"2er WG","München Obermenzing","Sarasatestr. 21","480","27"
"2er WG","München Bernried","Bernried am Starnberger See","550","20"
"6er WG","München Feldmoching-Hasenbergl","Lerchenauerstraße 148b","595","13"
"6er WG","München Feldmoching-Hasenbergl","Lerchenauerstraße 148b","665","22"
"2er WG","München Ludwigsvorstadt-Isarvorstadt","Fraunhoferstraße","700","13"
"2er WG","München Forstenried-Fürstenried","Schaffhauser Str.","450","9"
"3er WG","München Feldmoching-Hasenbergl","Eduard Spranger Str.","660","20"
"2er WG","München Neuhausen-Nymphenburg","Weiglstraße","710","15"
"3er WG","München Moosach","Dachauerstraße 188","380","17"
"3er WG","München Bogenhausen","Englschalkingerstr.","700","25"
"1-Zimmer-Wohnung","München Ramersdorf-Perlach","Klagenfurter Straße 3","820","25"
"3er WG","München Aubing-Lochhausen-Langwied","Dinkelsbühler Straße","420","15"
"2er WG","München Au-Haidhausen","Metzstraße 7","680","15"
"3er WG","München Norden","Dorfstraße 12a","650","11"
"1-Zimmer-Wohnung","München Maxvorstadt","Georgenstraße 45a","685","30"
"1-Zimmer-Wohnung","München Neuhausen-Nymphenburg","Nederlingerstraße 44","850","28"
"1-Zimmer-Wohnung","München Neuhausen-Nymphenburg","Nederlingerstraße 44","850","28"
"1-Zimmer-Wohnung","München Pasing-Obermenzing","Keyserlingstraße 48","850","30"
"3er WG","München Pasing-Obermenzing","Geyerspergerstraße 9","385","16"
"3er WG","München Perlach-Zentrum","Schumacherring","587","19"
"6er WG","München Hadern","Quendelweg 4","410","18"
"2er WG","München Untergiesing-Harlaching","Grünwalder Straße","640","20"
"2er WG","München Schwanthalerhöhe-Laim","Landsberger Str. 67","720","20"
"3er WG","München Sendling","Burgkmairstraße 58","750","16"
"2er WG","München Ludwigsvorstadt-Isarvorstadt","Arndtstraße 16","590","15"
"3er WG","München Schwabing-Freimann","beim Nordfriedhof","887","19"
"3er WG","München München","Brudermühlstraße, 40","699","22"
"2er WG","München Schwabing-West","Barer Str. 57","550","18"
"2er WG","München Bogenhausen","Nähe Richard-Strauss-Strasse","480","13"
"1-Zimmer-Wohnung","München Pasing-Obermenzing","Herzog Johann Strasse","750","32"
"7er WG","München Untergiesing-Harlaching","Grünwalder Str. 43","800","30"
"2er WG","München Schwanthalerhöhe-Laim","Mitterhoferstr.","650","13"
"4er WG","München Pasing-Obermenzing","Bergsonstr. 49","500","10"
"3er WG","München Sendling-Westpark","Burgkmairstraße","850","16"
"3er WG","München Schwabing-West","Birnauer Straße","700","10"
"4er WG","München Schwabing-West","Unertlstraße","629","20"
"5er WG","München Schwabing-Freimann","Am Wiesrain","503","10"
"2er WG","München Au-Haidhausen","Lilienstraße 48","835","15"
"4er WG","München Schwabing-West","Kölner Platz 5","550","14"
"3er WG","München Neuaubing","Mathilde-Berghofer-Weichn...","600","11"
"2er WG","München Neuhausen-Nymphenburg","Rüdigerstraße 4","500","13"
