"type","city","street","cost","area"
"4er WG","Berlin Wedding","Amrumer Straße 10","450","15"
"1-Zimmer-Wohnung","Berlin Lichtenberg","Einbecker Straße 78","520","17"
"3er WG","Berlin Wedding","Biesentaler Straße 23","350","23"
"1-Zimmer-Wohnung","Berlin Lichtenberg","Balatonstraße 1","615","24"
"2er WG","Berlin Neukölln","Willi-Sänger-Str.","850","40"
"1-Zimmer-Wohnung","Berlin Neukölln","Wilhelm-Busch Straße","670","35"
"3er WG","Berlin Prenzlauer Berg","Prenzlauer Allee 49","450","23"
"4er WG","Berlin Wilmersdorf","Blissestrasse","185","22"
"2er WG","Berlin Wedding","Drontheimer Str. 20","375","15"
"2er WG","Berlin Prenzlauer Berg","Metzer Straße 21","645","20"
"2er WG","Berlin Neukölln","Elbestraße 6","550","20"
"3er WG","Berlin Friedrichshain","Simplonstraße 17","455","17"
"3er WG","Berlin Charlottenburg-Wilmersdorf","Stendelweg 11a","350","14"
"2er WG","Berlin Wedding","Nazarethkirchstraße 51A","660","15"
"3er WG","Berlin Wedding","Nazarethkirchstraße 51A","590","12"
"4er WG","Berlin Wedding","Nazarethkirchstraße 51","550","12"
"4er WG","Berlin Wedding","Nazarethkirchstraße 51","540","9"
"4er WG","Berlin Wedding","Nazarethkirchstraße 51A","510","9"
"3er WG","Berlin Wedding","Nazarethkirchstraße 51A","560","12"
"2er WG","Berlin Charlottenburg-Wilmersdorf","Otto-Suhr-Allee","550","20"
"2er WG","Berlin Charlottenburg","Wielandstraße","750","37"
"2er WG","Berlin Schöneberg","Motzstrasse","500","24"
"2er WG","Berlin Neukölln","Emser Str. 18","520","27"
"1-Zimmer-Wohnung","Berlin Kreuzberg","Wartenburgstr","950","40"
"4er WG","Berlin Friedrichshain","Proskauer Strasse","520","27"
"1-Zimmer-Wohnung","Berlin Wedding","Gerichtstraße","610","38"
"2er WG","Berlin Neukölln","Flughafenstr. 44","430","23"
"2er WG","Berlin Schöneberg","Gotenstraße","420","17"
"4er WG","Berlin Lichtenberg","Weitlingstraße","520","26"
"2er WG","Berlin Weißensee","Meyerbeerstraße","495","25"
"4er WG","Berlin Neukölln","Sonnenallee 70","650","25"
"2er WG","Berlin at the intersection of kr...","Potsdamer Platz","690","22"
